Restrição de Atendimento,Escola,Categoria Administrativa,Endereço,Telefone,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude,Bairro
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ABC,Privada,"ENGENHEIRO ANDRE REBOUCAS, 10 VILA MATEO BEI. 11335-340 São Vicente - SP.",(13) 34683350,Até 50 matrículas de escolarização,Ensino Fundamental,-23.9625459,-46.4100661,VILA MATEO BEI
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOVEM EISNTEN,Privada,"MARECHAL CANDIDO MARIANO DA SILVA RONDON, 21 VILA MARGARIDA. 11330-800 São Vicente - SP.",,Até 50 matrículas de escolarização,Educação Infantil,-23.962403,-46.393104,VILA MARGARIDA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ABRACADABRA,Privada,"MARECHAL DEODORO, 219 VILA VALENCA. 11390-100 São Vicente - SP.",(13) 34689141,Até 50 matrículas de escolarização,Educação Infantil,-21.2100204,-50.4520903,VILA VALENCA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL SAFARI,Privada,"IBRAHIN ABDALLA SET EL BANAT, 472 JARDIM RIO BRANCO. 11347-010 São Vicente - SP.",,Até 50 matrículas de escolarização,Educação Infantil,-23.977582,-46.474333,JARDIM RIO BRANCO
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL JEAN PIERRE DOS SANTOS MOLINA,Pública Municipal,"JOSE VIEGAS, SN PARQUE CONTINENTAL. 11348-390 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.95706977,-46.45861852,PARQUE CONTINENTAL
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL ENG SEITETSU IHA,Pública Municipal,"BENJAMIM MATEUS MENDES, SN SAMARITA. 11345-580 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.988225,-46.46831833,SAMARITA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL NILTON RIBEIRO,Pública Municipal,"JOSE JULIO DA SILVA, 382 JAPUI. 11325-080 São Vicente - SP.",,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-23.98737462,-46.39373984,JAPUI
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL PROFESSOR CELSO EDUARDO DA SILVA,Pública Municipal,"QUARENTA E CINCO, SN CONJUNTO RESIDENCIAL HUMAITA. 11349-210 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.95236068,-46.45364509,CONJUNTO RESIDENCIAL HUMAITA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA INFANTIL GERANDO SONHOS,Privada,"PERO VAZ DE CAMINHA, 303 VILA VALENCA. 11390-040 São Vicente - SP.",(13) 34673146,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.9638194,-46.3772823,VILA VALENCA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNICIPAL NOSSA SENHORA DE FATIMA,Pública Municipal,"STELIO MACHADO LOUREIRO, 66 VILA NOSSA SENHORA DE FATIMA. 11355-240 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.9458624,-46.4062327,VILA NOSSA SENHORA DE FATIMA
