NOME,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,DS_TURNO_ATENDIMENTO,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_AMBULATORIAL_SUS
CARLOS SARKISSIAN SOBRINHO SAO VICENTE,11310090,AVENIDA PRESIDENTE WILSON,1081,ITARARE,(13)34685661,-239670756294.0,-463789219747.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ROSANGELA SOARES MOREIRA SAO VICENTE,11310100,AV PRESIDENTE WILSON,89,ITARARE,(13)34673808,-23971713.0,-46370463.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA MEDICA GADDINI LTDA SAO VICENTE,11310100,AV PRESIDENTE WILSON,1033,ITARARE,(13)34676566,-239673335447.0,-463785504035.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ECELD MEDICINA E SAUDE LTDA SAO VICENTE,11320001,AV PRESIDENTE WILSON,1033,ITARARE,(13)34676566,-23967385.0,-46378557.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
AMOR SAUDE CLINICA ODONTOLOGICA SAO VICENTE,11320130,MESSIA ASSU,443,ITARARE,31 97813987,-239707312.0,-463715383.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
DROGARAIA LJ0640 SV,11320001,PRESIDENTE WILSON,1169,ITARARE,13996160085,-239668033164.0,-463796639442.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,,,1.0,0.0,NAO
CLINICA PELLEGRINI SAO VICENTE,11320080,FREITAS GUIMARAES,445,ITARARE,13 96712135,-239688424919.0,-463730174303.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",0.0,0.0,0.0,0.0,1.0,0.0,NAO
VANIA LUCIA NOGUEIRA MENDES TAGLIARINI SAO VICENTE,11320001,AV PRESIDENTE WILSON,1473,ITARARE,(13) 34696965,-2396543.0,-46382232.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA MICHELLA CHAYAMITI SAO VICENTE,11320001,AVENIDA PRESIDENTE WILSON,1033,ITARARE,81165181,-23.9677395,-46.3481864,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
POSTO DE ENFERMAGEM DO ITARARE SAO VICENTE,11321000,AV AYRTON SENNA DA SILVA,S/N,ITARARE,1334676649,-23972133.0,-46368856.0,ATENDIMENTO SOMENTE PELA MANHA,0.0,0.0,0.0,0.0,0.0,0.0,NAO
FUNDACAO PLURAL SAO VICENTE,11320001,AV PRES WILSON,1033,ITARARE,34663692,-23.9677395,-46.3481864,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ASSOCIACAO PLURAL SAO VICENTE,11320001,AV PRES WILSON,1033,ITARARE,34663692,-23.9677395,-46.3481864,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
NOTRE DAME INTERMEDICA SAUDE AMBULATORIO SAO VICENTE,11320001,AV PRESIDENTE WILSON,199,ITARARE,1335693200,-239688179828.0,-463756942749.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
OFTALMOCENTER SAO VICENTE,11320160,R ONZE DE JUNHO,96,ITARARE,1338780333,-23.9711727,-46.3733336,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
